,Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price
10,Beringer Main & Vine Cabernet Sauvignon,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine","Chocolate, Dark Fruit, Oak, Rich",13.5%,"Beef, Cheese - Hard Aged",Bordeaux Glass,6,Dry Wine,Full,5.0,14,659.0
11,Beringer Bros Bourbon Barrel Aged Cabernet Sauvignon,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine",,14.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,12,1599.0
12,Beringer Main & Vine Pinot Grigio,United States,Beringer Vineyards,"Pinot Grigio, White Wine","Citrus, Fruity, Peach, Pear",12.5%,"Salads  Greens, Shellfish",Standard White Glass,3,Dry Wine,Light,5.0,11,699.0
13,Beringer Knights Valley Cabernet Sauvignon,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine","Dark Fruit, Anise, Mocha, Herbal",14.3%,"Beef, Lamb",Bordeaux Glass,6,Dry Wine,Full,5.0,8,2999.0
14,Beringer Main & Vine Chardonnay,United States,Beringer Vineyards,"Chardonnay, White Wine",,12.5%,"Cheese - Fresh  Soft, Fish - Meaty  Oily, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,6,649.0
15,Beringer Main & Vine Merlot,United States,Beringer Vineyards,"Merlot, Red Wine",,13%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,5,699.0
16,Beringer Napa Valley Merlot,United States,Beringer Vineyards,"Merlot, Red Wine",,14.3%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,3,1999.0
17,Beringer Napa Valley Cabernet Sauvignon,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine",,14.8%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,3,5499.0
18,Beringer Cabernet Sauvignon Private Reserve,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine",,13.8%,"Duck  Game Bird, Beef",Bordeaux Glass,6,Dry Wine,Full,5.0,2,15509.0
19,Beringer Cabernet Sauvignon Napa Valley,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine",,15%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,2595.0
20,Beringer Luminus Chardonnay,United States,Beringer Vineyards,"Chardonnay, White Wine",,14.3%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,3099.0
21,Beringer Napa Valley Chardonnay,United States,Beringer Vineyards,"Chardonnay, White Wine",,14.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,1899.0
22,Beringer Knights Valley Reserve Cabernet Sauvignon,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine",,14.9%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,2.5,2,5399.0
23,Francis Coppola Diamond Collection Cabernet Sauvignon,United States,Francis Ford Coppola,"Cabernet Sauvignon, Red Wine","Cassis, Berry, Chocolate, Anise",13.5%,"Beef, Lamb",Bordeaux Glass,6,Dry Wine,Full,5.0,64,1599.0
24,Francis Coppola Diamond Collection Merlot,United States,Francis Ford Coppola,"Merlot, Red Wine",,14.1%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,27,1599.0
25,Francis Coppola Diamond Collection Chardonnay,United States,Francis Ford Coppola,"Chardonnay, White Wine","Apple, Guava, Melon",13.5%,"Pork, Fish - Meaty  Oily",Chardonnay Glass,4,Dry Wine,Full,5.0,22,1299.0
26,Francis Coppola Director’s Cut Cabernet Sauvignon,United States,Francis Ford Coppola,"Cabernet Sauvignon, Red Wine",,14.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,11,2299.0
27,Francis Coppola Diamond Collection Pinot Grigio,United States,Francis Ford Coppola,"Pinot Grigio, White Wine",,13%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.5,11,1399.0
28,Francis Coppola Diamond Collection Malbec,United States,Francis Ford Coppola,"Malbec, Red Wine",,14.1%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,4,1699.0
29,Francis Coppola Diamond Collection Sauvignon Blanc,United States,Francis Ford Coppola,"Sauvignon Blanc, White Wine","Grapefruit, Tropical, Floral, Acidic",13.5%,"Salads  Greens, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,2,1399.0
30,Francis Coppola Diamond Collection Canned Sauvignon Blanc,United States,Francis Ford Coppola,"Sauvignon Blanc, White Wine",,13%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,2,1997.0
31,Barefoot Pinot Grigio,United States,Barefoot,"Pinot Grigio, White Wine","Green Apple, Peach, Citrus",12.4%,"Chicken, Pasta",Standard White Glass,3,Dry Wine,Light,4.8,513,735.0
32,Barefoot Chardonnay,United States,Barefoot,"Chardonnay, White Wine","Peach, Apple, Honey",13.4%,"Fish - White, Fruit - Sweet",Chardonnay Glass,4,Dry Wine,Full,4.8,138,729.0
33,Barefoot Merlot,United States,Barefoot,"Merlot, Red Wine","Cherry, Berry, Dark Fruit, Chocolate",13.4%,"Tomatoes, Dessert - Chocolate  Coffee",Bordeaux Glass,6,Dry Wine,Medium,5.0,93,700.0
34,Barefoot Riesling,United States,Barefoot,"Riesling, White Wine","Citrus, Apple, Fruity, Bright",8%,"Fruit - Sweet, Cheese - Nutty  Semi-Firm",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,4.8,90,699.0
35,Barefoot Cabernet Sauvignon,United States,Barefoot,"Cabernet Sauvignon, Red Wine","Berry, Jammy, Vanilla",13.5%,"Beef, Lamb",Bordeaux Glass,6,Dry Wine,Full,4.8,75,699.0
36,Barefoot Pinot Noir,United States,Barefoot,"Pinot Noir, Red Wine","Cherry, Berry, Silky, Spicy",13.5%,"Pork, Beef",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.8,65,705.0
37,Barefoot On Tap Pinot Grigio,United States,Barefoot,"Pinot Grigio, White Wine",,12%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.7,59,1999.0
38,Barefoot Sauvignon Blanc,United States,Barefoot,"Sauvignon Blanc, White Wine","Melon - Honeydew, Nectarine, Peach",13%,"Salads  Greens, Cheese - Nutty  Semi-Firm",Standard White Glass,3,Dry Wine,Light,5.0,56,759.0
39,Barefoot On Tap Chardonnay,United States,Barefoot,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,29,1999.0
40,Barefoot On Tap Cabernet Sauvignon,United States,Barefoot,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.7,21,1999.0
41,Barefoot Malbec,United States,Barefoot,"Malbec, Red Wine","Dark Fruit, Jammy, Spicy, Fruity",13%,"Duck  Game Bird, Lamb",Standard Red Glass,6,Dry Wine,Full,4.3,8,699.0
42,Kenwood Sauvignon Blanc,United States,Kenwood,"Sauvignon Blanc, White Wine",,13.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,6,1199.0
43,Kenwood Cabernet Sauvignon,United States,Kenwood,"Cabernet Sauvignon, Red Wine",,14.1%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,5,1599.0
44,Louis Latour Pouilly Fuisse,France,Louis Latour,"Chardonnay, White Wine","Bright, Citrus, Grapefruit, Fruity",13.8%,"Shellfish, Cheese - Creamy  Bloomy",Chardonnay Glass,4,Dry Wine,Full,5.0,7,2588.0
45,Loius Latour Valmoissine,France,Louis Latour,"Pinot Noir, Red Wine",,12%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,5,1499.0
46,Louis Latour Ardèche Chardonnay,France,Louis Latour,"Chardonnay, White Wine",,14%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,3,1199.0
47,Castle Rock Pinot Noir,United States,Castle Rock,"Pinot Noir, Red Wine",,13.5%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,2,1099.0
48,Chateau Ste. Michelle Chardonnay,United States,Chateau Ste. Michelle,"Chardonnay, White Wine","Apple, Citrus, Oak, Peach, Pear",14%,"Cheese - Blue, Cheese - Creamy  Bloomy, Cheese - Fresh  Soft, Cheese - Hard Aged, Cheese - Nutty  Semi-Firm, Cheese - Stinky, Chicken, Cured Meats, Fish - Meaty  Oily, Fruit - Dried, Mushrooms, Pork, Root Vegetables, Salads  Greens, Turkey",Chardonnay Glass,4,Dry Wine,Full,4.9,152,1099.0
49,Chateau Ste. Michelle Riesling,United States,Chateau Ste. Michelle,"Riesling, White Wine","Crisp, Apple, Minerality",12%,"Cheese - Blue, Cheese - Creamy  Bloomy, Cheese - Fresh  Soft, Cheese - Hard Aged, Cheese - Nutty  Semi-Firm, Cheese - Stinky, Chicken, Fish - White, Salads  Greens, Shellfish",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,4.7,144,1099.0
50,Chateau Ste. Michelle Cabernet Sauvignon,United States,Chateau Ste. Michelle,"Cabernet Sauvignon, Red Wine","Balanced, Red Fruit, Smooth, Velvety",13.5%,"Beef, Cured Meats, Duck  Game Bird, Lamb, Nuts, Pork, Root Vegetables",Bordeaux Glass,6,Dry Wine,Full,4.7,111,1599.0
51,Chateau Ste. Michelle Sauvignon Blanc,France,Chateau Ste. Michelle,"Sauvignon Blanc, White Wine","Bright, Dark Fruit, Melon, Herbal",13.5%,"Shellfish, Chicken",Standard White Glass,3,Dry Wine,Light,4.8,94,1099.0
52,Chateau Ste. Michelle Indian Wells Cabernet Sauvignon,United States,Chateau Ste. Michelle,"Cabernet Sauvignon, Red Wine","Dark Fruit, Jammy, Red Fruit",14.5%,"Beef, Cheese - Blue, Cheese - Creamy  Bloomy, Cheese - Fresh  Soft, Cheese - Hard Aged, Cheese - Nutty  Semi-Firm, Duck  Game Bird, Lamb, Pasta, Pork, Root Vegetables",Bordeaux Glass,6,Dry Wine,Full,4.8,32,1799.0
53,Chateau Ste. Michelle Merlot,United States,Chateau Ste. Michelle,"Merlot, Red Wine","Cassis, Dark Fruit, Jammy, Leather",13.5%,"Mushrooms, Beef",Bordeaux Glass,6,Dry Wine,Medium,5.0,24,1539.0
54,Chateau Ste. Michelle Harvest Select Riesling,United States,Chateau Ste. Michelle,"Riesling, White Wine","Crisp, Citrus, Pear, Apple",10.5%,"Dessert - Fruit, Cheese - Blue",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,24,999.0
55,Chateau Ste. Michelle Dry Riesling,United States,Chateau Ste. Michelle,"Riesling, White Wine","Crisp, Peach, Honey, Fruity",12.5%,"Cheese - Blue, Cheese - Creamy  Bloomy, Cheese - Fresh  Soft, Cheese - Hard Aged, Cheese - Nutty  Semi-Firm, Cheese - Stinky, Chicken, Cured Meats, Duck  Game Bird, Fish - Meaty  Oily, Fish - White, Mushrooms, Nuts, Pasta, Root Vegetables, Salads  Greens, Shellfish, Turkey",Standard White Glass,3,Dry Wine,Light,5.0,18,999.0
56,Chateau Ste. Michelle Pinot Gris,United States,Chateau Ste. Michelle,"Pinot Grigio, White Wine","Pear, Citrus, Spicy, Round",13%,"Shellfish, Fish - Meaty  Oily",Standard White Glass,3,Dry Wine,Light,5.0,13,1099.0
57,Chateau Ste. Michelle Indian Wells Chardonnay,United States,Chateau Ste. Michelle,"Chardonnay, White Wine","Butter, Caramel, Guava, Tropical, Tropical Fruit",14%,"Cheese - Fresh  Soft, Chicken, Fish - Meaty  Oily, Fish - White, Pasta, Pork, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,6,1699.0
58,BV Coastal Cabernet Sauvignon,United States,Beaulieu Vineyard,"Cabernet Sauvignon, Red Wine",,14%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,5,850.0
59,Cupcake® Vineyards Chardonnay White Wine,United States,Cupcake,"Chardonnay, White Wine","Apple, Butter, Citrus, Creamy, Melon, Oak, Toasty, Vanilla",14%,"Fish - White, Shellfish, Turkey",Chardonnay Glass,4,Dry Wine,Full,4.7,54,1049.0
60,Cupcake® Vineyards Pinot Grigio White Wine,United States,Cupcake,"Pinot Grigio, White Wine","Apple, Citrus, Crisp, Honey, Melon, Pear, Tropical",12.5%,"Chicken, Pasta, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.8,44,1000.0
61,Cupcake® Vineyards Butterkissed Chardonnay White Wine,United States,Cupcake,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,4.8,28,999.0
62,Cupcake® Vineyards Cabernet Sauvignon Red Wine,United States,Cupcake,"Cabernet Sauvignon, Red Wine","Bold, Berry, Coffee, Spicy",1%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,15,1049.0
63,Cupcake® Vineyards Pinot Noir Red Wine,United States,Cupcake,"Pinot Noir, Red Wine","Silky, Berry, Cherry, Spicy",13.5%,"Fish - Meaty  Oily, Dessert - Chocolate  Coffee",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,14,999.0
64,Cupcake® Vineyards Riesling White Wine,Germany,Cupcake,"Riesling, White Wine",,11%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,4.5,12,1049.0
65,Cupcake® Vineyards Malbec Red Wine,United States,Cupcake,"Malbec, Red Wine","Berry, Smooth, Vanilla, Spicy",13%,"Beef, Pasta",Standard Red Glass,6,Dry Wine,Full,5.0,5,1058.0
66,Cupcake® Vineyards Riesling Wine,Germany,Cupcake,"Riesling, White Wine",,11%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,3,1099.0
67,Cupcake® Vineyards Merlot Red Wine,United States,Cupcake,"Merlot, Red Wine",,13.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,2,1093.0
68,Kendall-Jackson Vintner’s Reserve Chardonnay,United States,Kendall-Jackson,"Chardonnay, White Wine","Citrus, Oak, Tropical Fruit",13.5%,"Pasta, Shellfish",Chardonnay Glass,4,Dry Wine,Full,4.8,411,1499.0
69,Kendall-Jackson Vintner’s Reserve Cabernet Sauvignon,United States,Kendall-Jackson,"Cabernet Sauvignon, Red Wine","Cassis, Mocha, Round, Supple",13.5%,"Beef, Cheese - Hard Aged",Bordeaux Glass,6,Dry Wine,Full,4.5,93,1999.0
70,Kendall-Jackson Vintner’s Reserve Sauvignon Blanc,United States,Kendall-Jackson,"Sauvignon Blanc, White Wine","Citrus, Fig, Minerality, Pear",13.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,4.7,57,1299.0
71,Kendall-Jackson Grand Reserve Chardonnay,United States,Kendall-Jackson,"Chardonnay, White Wine","Citrus, Floral, Round, Tropical Fruit",14.5%,"Pork, Shellfish, Turkey",Chardonnay Glass,4,Dry Wine,Full,5.0,11,1799.0
72,Kendall-Jackson Avant Chardonnay,United States,Kendall-Jackson,"Chardonnay, White Wine","Citrus, Floral, Green Apple, Pear",13.5%,"Chicken, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,11,1399.0
73,Kendall-Jackson Vintner’s Reserve Merlot,United States,Kendall-Jackson,"Merlot, Red Wine","Berry, Cherry, Currant, Dark Fruit, Silky, Spicy",14.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,10,1999.0
74,Kendall-Jackson Vintner’s Reserve Pinot Noir,United States,Kendall-Jackson,"Pinot Noir, Red Wine","Cherry, Red Fruit, Smooth, Vanilla",14.5%,"Duck  Game Bird, Fish - Meaty  Oily",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,7,1699.0
75,Kendall-Jackson Vintner’s Reserve Pinot Gris,United States,Kendall-Jackson,"Pinot Grigio, White Wine","Bright, Citrus, Melon, Melon - Honeydew, Peach, Pear, Tropical",13.5%,"Cheese - Nutty  Semi-Firm, Shellfish",Standard White Glass,3,Dry Wine,Light,5.0,6,1399.0
76,Kendall-Jackson Vintner’s Reserve Riesling,United States,Kendall-Jackson,"Riesling, White Wine","Apricot, Peach, Pear",13%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,4.0,5,1210.0
77,Trapiche Oak Cask Malbec,Argentina,Trapiche,"Malbec, Red Wine","Cherry, Dark Fruit, Pepper, Round",14%,"Beef, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,12,1099.0
78,Trapiche Malbec,Argentina,Trapiche,"Malbec, Red Wine","Dark Fruit, Cherry, Vanilla",13%,"Pasta, Cheese - Nutty  Semi-Firm",Standard Red Glass,6,Dry Wine,Full,5.0,8,899.0
79,Trapiche Broquel Malbec,Argentina,Trapiche,"Malbec, Red Wine","Dark Fruit, Floral, Earthy, Smoky",15%,"Beef, Mushrooms",Standard Red Glass,6,Dry Wine,Full,4.1,6,1499.0
80,Sutter Home Chardonnay,United States,Sutter Home,"Chardonnay, White Wine","Fresh, Creamy, Fruity",13%,"Pasta, Shellfish",Chardonnay Glass,4,Dry Wine,Full,4.7,52,699.0
81,Sutter Home Pinot Grigio,United States,Sutter Home,"Pinot Grigio, White Wine",,13%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.8,32,698.0
82,Sutter Home Cabernet Sauvignon,United States,Sutter Home,"Cabernet Sauvignon, Red Wine",,12.9%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.7,22,689.0
83,Sutter Home Merlot,United States,Sutter Home,"Merlot, Red Wine",,13%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,20,699.0
84,Sutter Home Sauvignon Blanc,United States,Sutter Home,"Sauvignon Blanc, White Wine","Citrus, Grapefruit, Intense, Herbal",13.5%,"Cheese - Fresh  Soft, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,11,699.0
85,Sutter Home Riesling,United States,Sutter Home,"Riesling, White Wine",,12.9%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,4,659.0
86,Blackstone Merlot,United States,Blackstone,"Merlot, Red Wine",,13.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,4.8,28,997.0
87,Blackstone Cabernet Sauvignon,United States,Blackstone,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,4,999.0
88,Santa Rita 120 Cabernet Sauvignon,Chile,Santa Rita,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,5,799.0
89,Santa Rita 120 Chardonnay,Chile,Santa Rita,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,4,799.0
90,Clos Du Bois Chardonnay,United States,Clos du Bois,"Chardonnay, White Wine","Apple, Pear, Citrus, Floral",14%,"Chicken, Fish - White",Chardonnay Glass,4,Dry Wine,Full,4.9,52,1197.0
91,Clos du Bois Cabernet Sauvignon North Coast,United States,Clos du Bois,"Cabernet Sauvignon, Red Wine","Bold, Dark Fruit, Mocha, Supple",13.5%,"Lamb, Beef",Bordeaux Glass,6,Dry Wine,Full,5.0,9,1199.0
92,Clos Du Bois Merlot,United States,Clos du Bois,"Merlot, Red Wine",,14%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,7,1199.0
93,Clos Du Bois Pinot Grigio,United States,Clos du Bois,"Pinot Grigio, White Wine",,13.5%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,5,1099.0
94,Clos Du Bois Sauvignon Blanc,United States,Clos du Bois,"Sauvignon Blanc, White Wine",,14%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,2,1099.0
95,Fetzer Sundial Chardonnay,United States,Fetzer,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,8,799.0
96,Fetzer Gewurztraminer,United States,Fetzer,"Sauvignon Blanc, White Wine",,12%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,7,799.0
97,Fetzer Valley Oaks Cabernet Sauvignon,United States,Fetzer,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,3,809.0
98,Josh Cellars Cabernet Sauvignon,United States,Josh Cellars,"Cabernet Sauvignon, Red Wine","Cherry, Berry, Oak, Vanilla",13.9%,"Beef, Dessert - Chocolate  Coffee",Bordeaux Glass,6,Dry Wine,Full,4.8,1331,1949.0
99,Josh Cellars Chardonnay,United States,Josh Cellars,"Chardonnay, White Wine","Peach, Citrus, Tropical Fruit, Bright",13.68%,"Shellfish, Pasta",Chardonnay Glass,4,Dry Wine,Full,4.9,356,1399.0
100,Josh Cellars Sauvignon Blanc,United States,Josh Cellars,"Sauvignon Blanc, White Wine","Citrus, Tropical Fruit, Floral, Peach",13.5%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.8,131,1399.0
101,Josh Cellars Merlot,United States,Josh Cellars,"Merlot, Red Wine","Dark Fruit, Velvety, Vanilla, Smooth",13.9%,"Fruit - Dried, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,4.6,64,1500.0
102,Woodbridge Chardonnay by Robert Mondavi,United States,Woodbridge By Robert Mondavi,"Chardonnay, White Wine","Cinnamon, Sweet, Tropical",13.5%,"Chicken, Fruit - Sweet",Chardonnay Glass,4,Dry Wine,Full,4.8,185,799.0
103,Woodbridge Cabernet Sauvignon by Robert Mondavi,United States,Woodbridge By Robert Mondavi,"Cabernet Sauvignon, Red Wine","Berry, Chocolate, Toasty",13.5%,"Beef, Tomatoes",Bordeaux Glass,6,Dry Wine,Full,4.8,164,749.0
104,Woodbridge Pinot Grigio by Robert Mondavi,United States,Woodbridge By Robert Mondavi,"Pinot Grigio, White Wine","Balanced, Citrus, Crisp, Peach",13.5%,"Cured Meats, Mushrooms",Standard White Glass,3,Dry Wine,Light,4.7,56,750.0
105,Woodbridge Sauvignon Blanc by Robert Mondavi,United States,Woodbridge By Robert Mondavi,"Sauvignon Blanc, White Wine","Bright, Citrus, Tropical Fruit",13%,"Shellfish, Chicken",Standard White Glass,3,Dry Wine,Light,5.0,51,770.0
106,Woodbridge Pinot Noir by Robert Mondavi,United States,Woodbridge By Robert Mondavi,"Pinot Noir, Red Wine",,13.5%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.8,52,799.0
107,Woodbridge Merlot by Robert Mondavi,United States,Woodbridge By Robert Mondavi,"Merlot, Red Wine","Cherry, Chocolate, Red Fruit, Mocha",13.5%,"Beef, Pasta",Bordeaux Glass,6,Dry Wine,Medium,5.0,40,789.0
108,Woodbridge Lightly Oaked Chardonnay by Robert Mondavi,United States,Woodbridge By Robert Mondavi,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,24,734.0
109,Woodbridge Cabernet Merlot by Robert Mondavi,United States,Woodbridge By Robert Mondavi,"Merlot, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Medium,4.7,17,799.0
110,Woodbridge Malbec by Robert Mondavi,United States,Woodbridge By Robert Mondavi,"Malbec, Red Wine",,13%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,11,700.0
111,Woodbridge Riesling by Robert Mondavi,United States,Woodbridge By Robert Mondavi,"Riesling, White Wine",,14%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,4,749.0
112,Barkan Cabernet Sauvignon,Israel,Barkan,"Cabernet Sauvignon, Red Wine",,13%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,4,1199.0
113,Tussock Jumper Sauvignon Blanc,New Zealand,Tussock Jumper,"Sauvignon Blanc, White Wine","Bright, Citrus, Crisp, Fresh, Grapefruit, Grassy, Melon, Passionfruit, Pineapple",13%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,3,1299.0
